"Check items to add to the cart or","Επιλέξτε αντικείμενα για προσθήκη στην κάρτα ή"
"Add to Wishlist","Προσθήκη στη λίστα επιθυμιών"
"Review by %s","Κριτική από %s"
"(Posted on %s)","(Αναρτήθηκε στις %s)"
"Other people marked this product with these tags:","Άλλοι σημείωσαν το προϊόν με τις παρακάτω ετικέτες:"
"Add Your Tags:","Προσθέστε τις ετικέτες σας:"
"Add Tags","Προσθήκη ετικετών"
"Use spaces to separate tags. Use single quotes (') for phrases.","Χρησιμοποιήστε το διάστημα (space) για να διαχωρήσετε τις ετικέτες. Χρησιμοποιείστε μονό εισαγωγικό (') για φράσεις."
"Email to a Friend","Email σε κάποιον φίλο"
"Update url when switch between tabs","Ενημερώνεται το url (διεύθυνση) κατά την εναλλαγή καρτέλων (tab)"
"Show tab anchor when hovering tab","Εμφάνιση άγκυρας σε καρτέλα κατά την εναλλαγή καρτελών"